<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.01	7.140	7.200	7.140	7.150	5236	234145	5
2019.03.06	7.190	7.220	7.170	7.190	3042	130660	5
2019.03.07	7.200	7.240	7.150	7.150	9386	305995	5
2019.03.08	7.170	7.170	7.110	7.140	4027	192665	5
2019.03.11	7.110	7.110	7.040	7.070	7117	286699	5
2019.03.12	7.080	7.090	7.000	7.000	5008	319375	5
2019.03.13	6.990	6.990	6.890	6.890	6877	328990	5
2019.03.14	6.930	7.010	6.920	6.960	5857	305735	5
2019.03.15	6.980	7.030	6.950	6.960	5564	284350	5
2019.03.18	6.960	7.010	6.910	6.930	5064	179145	5
2019.03.19	6.920	6.920	6.870	6.910	5093	289230	5
2019.03.20	6.900	6.980	6.830	6.900	7227	480135	5
2019.03.21	6.810	6.970	6.800	6.870	14500	725477	5
2019.03.22	7.040	7.150	6.990	7.130	16103	663890	5
2019.03.25	7.320	7.330	7.020	7.030	11701	506000	5
2019.03.26	7.010	7.120	6.980	7.110	7993	362600	5
2019.03.27	7.220	7.410	7.150	7.410	15382	747294	5
2019.03.28	7.450	7.450	7.090	7.090	14761	540440	5
2019.03.29	7.080	7.150	7.040	7.140	7835	346335	5
2019.04.01	7.080	7.090	7.040	7.040	4610	210540	5
2019.04.02	7.030	7.050	7.010	7.020	4076	226695	5
2019.04.03	6.990	7.090	6.980	7.090	5388	191790	5
2019.04.04	7.080	7.130	7.040	7.050	4696	201925	5
2019.04.05	7.040	7.090	7.020	7.040	6729	245164	5
2019.04.08	7.030	7.070	7.030	7.050	3683	201190	5
2019.04.09	7.070	7.120	7.060	7.090	3510	200085	5
2019.04.10	7.120	7.130	7.050	7.090	5020	255980	5
2019.04.11	7.090	7.140	7.080	7.110	5062	276057	5
2019.04.12	7.180	7.210	7.090	7.140	7142	361736	5
2019.04.15	7.140	7.160	7.070	7.070	4544	227685	5
2019.04.16	7.090	7.140	7.080	7.110	4669	205995	5
2019.04.17	7.090	7.140	7.070	7.130	7066	304975	5
2019.04.18	7.110	7.110	6.990	7.040	6749	346621	5
2019.04.22	7.050	7.050	6.990	7.020	2626	102050	5
2019.04.23	7.010	7.010	6.950	6.970	4225	282435	5
2019.04.24	6.930	7.060	6.920	7.060	6538	357660	5
