<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2019.02.13;97295;97765;96280;96895;1573359;5688794;5
2019.02.14;97075;99115;95735;99000;1963450;6642962;5
2019.02.15;98660;99215;97935;98270;1865397;6358442;5
2019.02.18;97940;98090;97085;97395;1428989;5033112;5
2019.02.19;97200;99150;97020;98230;1806332;6507603;5
2019.02.20;98440;99445;97200;97590;2046628;7155369;5
2019.02.21;97850;98220;96525;97810;1819380;6342441;5
2019.02.22;98220;98990;97750;98630;1489159;5370143;5
2019.02.25;99110;99290;97835;98050;1592237;5659317;5
2019.02.26;97800;98715;97570;98250;1526840;5438820;5
2019.02.27;98090;98515;97590;97950;1576823;5326363;5
2019.02.28;97945;98235;95950;95950;1693563;6108249;5
2019.03.01;96500;96790;94950;95170;1590353;5837619;5
2019.03.06;94885;95490;94510;94670;811734;2778481;5
2019.03.07;94600;95195;94270;95160;1571444;5703086;5
2019.03.08;94620;96095;93810;95935;1562120;5391926;5
2019.03.11;96315;98735;96140;98600;1385120;5181063;5
2019.03.12;98340;98950;97825;98445;1716407;6049342;5
2019.03.13;98750;99900;97910;99150;1832292;6127771;5
2019.03.14;99350;99650;98250;99035;1745120;5776427;5
2019.03.15;99420;99925;98545;99245;1640962;5176833;5
2019.03.18;99490;100550;99350;100550;1363301;4521151;5
2019.03.19;100500;100930;99765;99895;1541590;5413323;5
2019.03.20;99895;100245;97800;97800;1772371;6120616;5
2019.03.21;97700;98360;95770;97175;2020847;6721964;5
2019.03.22;95370;95725;93535;93545;2093243;6662193;5
2019.03.25;92195;94725;92070;94065;2125046;6989050;5
2019.03.26;94745;95875;94170;95115;2017309;6982851;5
2019.03.27;94200;94550;90405;90580;2401557;7634894;5
2019.03.28;90940;95190;90935;94650;2116466;6906837;5
2019.03.29;95325;96185;95015;95340;2066606;5766045;5
2019.04.01;96415;96995;95905;96145;1466614;4857483;5
2019.04.02;96600;96910;94930;95685;1831223;6341938;5
2019.04.03;96620;96815;94235;95000;2198870;6831250;5
2019.04.04;94990;96840;94465;96620;1978362;6769013;5
2019.04.05;96780;97685;96250;97400;1758135;5828297;5
2019.04.08;97395;97785;96800;97500;1792517;5842949;5
2019.04.09;97130;97270;95575;96390;1718917;6089032;5
2019.04.10;97000;97100;95755;95900;1751708;6265974;5
2019.04.11;95690;95975;94175;95125;1636190;6095856;5
2019.04.12;93685;94815;92505;93050;2026384;7414313;5
2019.04.15;93500;93845;92700;93010;2097107;7286591;5
2019.04.16;93350;95100;92805;94475;1906408;7072349;5
2019.04.17;95500;95820;93000;94345;2001556;7291306;5
2019.04.18;94900;96050;94140;95000;1774954;6537192;5
2019.04.22;95000;95820;94410;95350;1823311;6281035;5
2019.04.23;95700;97125;95650;96720;1753117;6633218;5
2019.04.24;97100;97210;94810;95815;1788192;6996274;5
2019.04.25;95995;97260;94830;97090;1777494;6632300;5
2019.04.26;96890;97465;96260;96860;1559567;5845973;5
2019.04.29;97095;97840;96675;96810;1542488;5587146;5
2019.04.30;97105;97420;96240;97005;1581412;5620716;5
2019.05.02;96355;96580;95870;96085;1466045;5528041;5
2019.05.03;96370;96960;96350;96535;1121212;4210403;5
2019.05.06;95275;95660;95060;95240;1203983;4383523;5
2019.05.07;95115;95325;93195;95325;1800560;7204129;5
2019.05.08;94920;96895;94880;95950;1606548;5860384;5
2019.05.09;95500;95715;94325;95205;1751503;6191002;5
2019.05.10;94840;95425;93630;94300;1830191;6882999;5
2019.05.13;93375;93375;91010;91010;1944848;7038731;5
2019.05.14;91915;92940;91840;92290;1818448;6923496;5
2019.05.15;91750;92155;90605;91545;1903929;6866639;5
2019.05.16;91985;92095;90010;90395;1815499;7014948;5
2019.05.17;89945;91735;89625;90685;1862219;7402321;5
2019.05.20;90130;92700;90090;92690;2024302;7158606;5
2019.05.21;92725;94975;92260;94955;1945461;7416304;5
2019.05.22;94620;95550;94165;94950;1989197;7131481;5
2019.05.23;93950;94875;93515;94400;1775576;6728000;5
2019.05.24;94720;95200;93645;93645;1627125;6269309;5
2019.05.27;94235;95740;94195;95250;1312102;4960103;5
2019.05.28;95250;96850;94850;96625;1896742;7314107;5
2019.05.29;96045;97230;95840;96520;1835266;7104539;5
2019.05.30;96600;98180;96360;97795;1632402;6426990;5
2019.05.31;97030;98225;96870;97095;1667881;6396991;5
