<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.13	98995	99890	97915	99165	21367	136975	5
2019.03.14	99345	99640	98250	99050	16878	107550	5
2019.03.15	99300	99920	98555	99230	19746	135340	5
2019.03.18	99500	100545	99445	100500	14128	93445	5
2019.03.19	100560	100940	99770	99990	16249	110265	5
2019.03.20	99940	100250	97800	97825	29434	196345	5
2019.03.21	98000	98360	95775	97155	31145	206155	5
2019.03.22	95300	95725	93560	93575	37586	245375	5
2019.03.25	92025	94720	92025	94020	27474	181735	5
2019.03.26	94835	95880	94165	95150	27516	182320	5
2019.03.27	94440	94480	90425	90500	40936	273475	5
2019.03.28	91200	95190	90720	94700	36250	241335	5
2019.03.29	95455	96180	95025	95320	18491	121320	5
2019.04.01	96555	97000	95910	96120	18679	123050	5
2019.04.02	96480	96910	94940	95670	17408	116940	5
2019.04.03	96595	96830	94245	95000	24257	152095	5
2019.04.04	94845	96840	94470	96600	20612	134910	5
2019.04.05	96815	97690	96245	97420	16038	110370	5
2019.04.08	97360	97785	96795	97490	13817	101890	5
2019.04.09	97085	97270	95565	96395	19541	131830	5
2019.04.10	96980	97085	95755	95900	17675	116030	5
2019.04.11	95735	95985	94175	95100	18161	121920	5
2019.04.12	94000	94820	92515	93080	27427	182350	5
2019.04.15	93405	93835	92695	93020	19125	120885	5
2019.04.16	93260	95090	92800	94470	24160	161430	5
2019.04.17	95500	95825	92995	94320	26447	163685	5
2019.04.18	94770	96050	94155	95075	16528	111225	5
2019.04.22	95070	95815	94405	95345	13280	86305	5
2019.04.23	95660	97120	95640	96750	21053	140440	5
2019.04.24	97000	97200	94800	95800	24481	160020	5
2019.04.25	95945	97250	94830	97100	21958	139805	5
2019.04.26	96915	97475	96280	96875	13071	88160	5
2019.04.29	97100	97840	96685	96805	15585	102330	5
2019.04.30	97040	97425	96240	97050	16204	103560	5
2019.05.02	96390	96575	95875	96100	14146	93720	5
2019.05.03	96330	96955	96330	96570	11256	73035	5
2019.05.06	95250	95660	95060	95275	14877	97470	5
2019.05.07	95140	95290	93200	95290	30260	193275	5
2019.05.08	94900	96900	94895	96000	22692	142690	5
2019.05.09	95400	95710	94330	95200	24032	150055	5
2019.05.10	94860	95410	93625	94305	20929	133750	5
2019.05.13	93300	93375	91050	91050	28511	182370	5
2019.05.14	91810	92940	91810	92270	24050	154730	5
2019.05.15	91605	92150	90610	91520	27837	193680	5
2019.05.16	91965	92100	90020	90390	28989	187635	5
2019.05.17	89950	91725	89630	90690	34191	228120	5
2019.05.20	90150	92710	90085	92710	24112	158745	5
2019.05.21	92720	94980	92250	94975	25353	165650	5
2019.05.22	94675	95555	94160	94945	21545	139965	5
2019.05.23	93950	94870	93520	94400	20046	128545	5
2019.05.24	94680	95195	93645	93645	20608	135965	5
2019.05.27	94120	95740	94120	95255	17912	117510	5
2019.05.28	95220	96850	94840	96670	31665	211305	5
2019.05.29	95950	97240	95850	96540	35197	227050	5
2019.05.30	96480	98165	96365	97800	26017	170330	5
2019.05.31	97100	98210	96870	97110	22252	144965	5
2019.06.03	97400	97890	96530	97250	21815	137645	5
2019.06.04	97630	98030	96670	97715	24806	156840	5
2019.06.05	97905	97970	95730	96400	30416	196825	5
2019.06.06	96585	97565	96150	96900	24876	158505	5
2019.06.07	97400	98460	97045	98000	22874	145665	5
2019.06.10	97120	97920	96805	97250	27325	177220	5
2019.06.11	97450	99120	97450	99100	22957	155115	5
2019.06.12	99505	100285	98810	99490	27087	166210	5
2019.06.13	99950	100415	99480	100100	28035	178255	5
2019.06.14	99620	99985	98465	98650	23900	149935	5
2019.06.17	98675	99385	98510	98595	20290	121375	5
2019.06.18	99285	100500	99200	100500	22936	145615	5
2019.06.19	100300	101425	99865	101400	22990	144520	5
2019.06.21	101800	103030	101775	102920	22126	132210	5
2019.06.24	102920	103540	102460	102980	22898	137375	5
2019.06.25	102820	102840	100500	100505	33200	201735	5
2019.06.26	101520	101980	100915	101360	23990	141995	5
2019.06.27	101140	101850	100100	101475	22787	141140	5
2019.06.28	101820	102430	101240	101365	17617	106150	5
